Category: All categories

Month,Amy Poehler: (United States)
2004-01,3
2004-02,2
2004-03,4
2004-04,4
2004-05,4
2004-06,5
2004-07,5
2004-08,6
2004-09,3
2004-10,12
2004-11,9
2004-12,17
2005-01,9
2005-02,12
2005-03,7
2005-04,9
2005-05,10
2005-06,5
2005-07,5
2005-08,7
2005-09,8
2005-10,10
2005-11,10
2005-12,8
2006-01,10
2006-02,8
2006-03,6
2006-04,7
2006-05,5
2006-06,5
2006-07,6
2006-08,6
2006-09,7
2006-10,6
2006-11,7
2006-12,12
2007-01,7
2007-02,7
2007-03,10
2007-04,12
2007-05,9
2007-06,5
2007-07,6
2007-08,6
2007-09,9
2007-10,6
2007-11,8
2007-12,9
2008-01,6
2008-02,8
2008-03,19
2008-04,30
2008-05,18
2008-06,10
2008-07,14
2008-08,11
2008-09,50
2008-10,89
2008-11,31
2008-12,29
2009-01,18
2009-02,13
2009-03,11
2009-04,27
2009-05,16
2009-06,12
2009-07,8
2009-08,7
2009-09,13
2009-10,9
2009-11,10
2009-12,9
2010-01,10
2010-02,8
2010-03,10
2010-04,10
2010-05,20
2010-06,7
2010-07,7
2010-08,11
2010-09,16
2010-10,11
2010-11,9
2010-12,7
2011-01,15
2011-02,16
2011-03,12
2011-04,17
2011-05,26
2011-06,16
2011-07,16
2011-08,13
2011-09,21
2011-10,15
2011-11,14
2011-12,16
2012-01,18
2012-02,18
2012-03,14
2012-04,15
2012-05,19
2012-06,13
2012-07,14
2012-08,14
2012-09,79
2012-10,23
2012-11,23
2012-12,26
2013-01,61
2013-02,35
2013-03,33
2013-04,25
2013-05,28
2013-06,28
2013-07,24
2013-08,25
2013-09,28
2013-10,26
2013-11,19
2013-12,33
2014-01,100
2014-02,36
2014-03,34
2014-04,33
2014-05,27
2014-06,23
2014-07,29
2014-08,41
2014-09,28
2014-10,60
2014-11,53
2014-12,52
2015-01,95
2015-02,58
2015-03,42
2015-04,32
2015-05,30
2015-06,47
2015-07,56
2015-08,51
2015-09,44
2015-10,27
2015-11,34
2015-12,94
2016-01,55
2016-02,32
2016-03,33
2016-04,28
2016-05,21
2016-06,20
2016-07,23
2016-08,16
2016-09,27
2016-10,18
2016-11,20
2016-12,21
2017-01,26
2017-02,20
2017-03,18
2017-04,17
2017-05,24
2017-06,41
2017-07,28
2017-08,22
2017-09,17
2017-10,17
2017-11,16
2017-12,21
2018-01,28
2018-02,21
2018-03,23
2018-04,18
2018-05,19
2018-06,23
2018-07,33
2018-08,47
2018-09,25
2018-10,18
2018-11,17
2018-12,18
2019-01,22
2019-02,28
2019-03,22
2019-04,18
2019-05,38
2019-06,19
2019-07,17
2019-08,16
2019-09,15
2019-10,13
2019-11,13
2019-12,27
2020-01,22
2020-02,24
2020-03,22
2020-04,23
2020-05,26
2020-06,21
2020-07,17
2020-08,14
2020-09,14
2020-10,10
2020-11,11
2020-12,11
2021-01,13
2021-02,16
2021-03,30
2021-04,14
2021-05,11
2021-06,14
2021-07,13
2021-08,14
2021-09,13
2021-10,9
2021-11,9
2021-12,12
2022-01,13
2022-02,14
2022-03,15
2022-04,10
2022-05,10
2022-06,9
2022-07,12
2022-08,9
2022-09,11
2022-10,9
2022-11,7
2022-12,13
2023-01,13
2023-02,26
2023-03,12
2023-04,13
2023-05,13
2023-06,17
2023-07,14
2023-08,13
2023-09,14
2023-10,15
2023-11,12
2023-12,13
2024-01,19
2024-02,15
2024-03,12
2024-04,12
2024-05,12
2024-06,17
2024-07,13
2024-08,11
2024-09,10
2024-10,9
2024-11,8
2024-12,11
2025-01,12
2025-02,29
2025-03,24
2025-04,29
