Category: All categories

Month,Ronaldo: (United States)
2004-01,3
2004-02,2
2004-03,3
2004-04,3
2004-05,2
2004-06,3
2004-07,5
2004-08,3
2004-09,3
2004-10,3
2004-11,3
2004-12,3
2005-01,3
2005-02,3
2005-03,2
2005-04,3
2005-05,3
2005-06,3
2005-07,2
2005-08,2
2005-09,2
2005-10,3
2005-11,3
2005-12,3
2006-01,3
2006-02,3
2006-03,3
2006-04,4
2006-05,5
2006-06,20
2006-07,22
2006-08,7
2006-09,6
2006-10,6
2006-11,6
2006-12,6
2007-01,7
2007-02,7
2007-03,6
2007-04,7
2007-05,9
2007-06,6
2007-07,8
2007-08,6
2007-09,7
2007-10,7
2007-11,7
2007-12,7
2008-01,7
2008-02,8
2008-03,7
2008-04,13
2008-05,16
2008-06,19
2008-07,15
2008-08,9
2008-09,9
2008-10,9
2008-11,10
2008-12,12
2009-01,13
2009-02,10
2009-03,12
2009-04,14
2009-05,18
2009-06,28
2009-07,19
2009-08,14
2009-09,13
2009-10,14
2009-11,13
2009-12,13
2010-01,13
2010-02,13
2010-03,13
2010-04,22
2010-05,24
2010-06,62
2010-07,38
2010-08,19
2010-09,15
2010-10,16
2010-11,18
2010-12,17
2011-01,10
2011-02,15
2011-03,9
2011-04,12
2011-05,12
2011-06,10
2011-07,10
2011-08,9
2011-09,9
2011-10,9
2011-11,11
2011-12,10
2012-01,9
2012-02,10
2012-03,9
2012-04,15
2012-05,11
2012-06,22
2012-07,11
2012-08,10
2012-09,15
2012-10,11
2012-11,12
2012-12,12
2013-01,11
2013-02,15
2013-03,14
2013-04,12
2013-05,13
2013-06,14
2013-07,12
2013-08,14
2013-09,13
2013-10,12
2013-11,17
2013-12,14
2014-01,16
2014-02,13
2014-03,14
2014-04,17
2014-05,23
2014-06,81
2014-07,33
2014-08,19
2014-09,18
2014-10,19
2014-11,20
2014-12,21
2015-01,26
2015-02,19
2015-03,20
2015-04,21
2015-05,25
2015-06,19
2015-07,16
2015-08,18
2015-09,17
2015-10,18
2015-11,22
2015-12,18
2016-01,16
2016-02,16
2016-03,14
2016-04,18
2016-05,17
2016-06,27
2016-07,32
2016-08,13
2016-09,12
2016-10,12
2016-11,13
2016-12,15
2017-01,11
2017-02,11
2017-03,13
2017-04,18
2017-05,15
2017-06,27
2017-07,17
2017-08,16
2017-09,12
2017-10,13
2017-11,14
2017-12,16
2018-01,14
2018-02,12
2018-03,13
2018-04,19
2018-05,18
2018-06,53
2018-07,51
2018-08,15
2018-09,15
2018-10,19
2018-11,11
2018-12,11
2019-01,12
2019-02,11
2019-03,13
2019-04,11
2019-05,10
2019-06,11
2019-07,9
2019-08,8
2019-09,9
2019-10,9
2019-11,8
2019-12,11
2020-01,9
2020-02,9
2020-03,11
2020-04,8
2020-05,7
2020-06,8
2020-07,8
2020-08,11
2020-09,8
2020-10,11
2020-11,7
2020-12,9
2021-01,8
2021-02,10
2021-03,8
2021-04,7
2021-05,9
2021-06,17
2021-07,12
2021-08,31
2021-09,19
2021-10,12
2021-11,12
2021-12,11
2022-01,15
2022-02,18
2022-03,15
2022-04,31
2022-05,18
2022-06,14
2022-07,18
2022-08,15
2022-09,13
2022-10,18
2022-11,59
2022-12,100
2023-01,39
2023-02,25
2023-03,25
2023-04,24
2023-05,24
2023-06,22
2023-07,19
2023-08,20
2023-09,21
2023-10,25
2023-11,21
2023-12,20
2024-01,20
2024-02,21
2024-03,19
2024-04,20
2024-05,19
2024-06,25
2024-07,29
2024-08,19
2024-09,24
2024-10,23
2024-11,21
2024-12,22
2025-01,18
2025-02,21
2025-03,19
2025-04,19
