Category: All categories

Month,Hilary Duff: (United States)
2004-01,93
2004-02,83
2004-03,69
2004-04,60
2004-05,58
2004-06,64
2004-07,93
2004-08,78
2004-09,63
2004-10,76
2004-11,57
2004-12,63
2005-01,60
2005-02,48
2005-03,46
2005-04,42
2005-05,48
2005-06,63
2005-07,77
2005-08,100
2005-09,66
2005-10,45
2005-11,58
2005-12,56
2006-01,53
2006-02,38
2006-03,37
2006-04,33
2006-05,28
2006-06,30
2006-07,31
2006-08,39
2006-09,25
2006-10,22
2006-11,28
2006-12,31
2007-01,23
2007-02,27
2007-03,30
2007-04,45
2007-05,28
2007-06,33
2007-07,47
2007-08,37
2007-09,22
2007-10,22
2007-11,21
2007-12,24
2008-01,21
2008-02,17
2008-03,18
2008-04,19
2008-05,21
2008-06,19
2008-07,17
2008-08,16
2008-09,13
2008-10,15
2008-11,18
2008-12,21
2009-01,18
2009-02,15
2009-03,12
2009-04,15
2009-05,12
2009-06,12
2009-07,13
2009-08,13
2009-09,11
2009-10,12
2009-11,13
2009-12,11
2010-01,11
2010-02,24
2010-03,14
2010-04,15
2010-05,10
2010-06,10
2010-07,12
2010-08,22
2010-09,10
2010-10,12
2010-11,13
2010-12,10
2011-01,11
2011-02,10
2011-03,9
2011-04,8
2011-05,8
2011-06,10
2011-07,11
2011-08,28
2011-09,11
2011-10,19
2011-11,13
2011-12,14
2012-01,12
2012-02,12
2012-03,18
2012-04,16
2012-05,11
2012-06,14
2012-07,13
2012-08,11
2012-09,10
2012-10,8
2012-11,8
2012-12,10
2013-01,10
2013-02,9
2013-03,9
2013-04,9
2013-05,11
2013-06,10
2013-07,9
2013-08,9
2013-09,9
2013-10,8
2013-11,9
2013-12,12
2014-01,17
2014-02,10
2014-03,13
2014-04,9
2014-05,10
2014-06,8
2014-07,16
2014-08,15
2014-09,17
2014-10,9
2014-11,8
2014-12,9
2015-01,8
2015-02,9
2015-03,18
2015-04,18
2015-05,16
2015-06,17
2015-07,12
2015-08,10
2015-09,8
2015-10,7
2015-11,7
2015-12,8
2016-01,11
2016-02,9
2016-03,7
2016-04,7
2016-05,8
2016-06,7
2016-07,7
2016-08,6
2016-09,7
2016-10,13
2016-11,13
2016-12,9
2017-01,7
2017-02,6
2017-03,5
2017-04,5
2017-05,5
2017-06,25
2017-07,12
2017-08,11
2017-09,7
2017-10,5
2017-11,5
2017-12,6
2018-01,5
2018-02,5
2018-03,5
2018-04,5
2018-05,8
2018-06,11
2018-07,7
2018-08,7
2018-09,6
2018-10,5
2018-11,5
2018-12,5
2019-01,6
2019-02,5
2019-03,6
2019-04,5
2019-05,7
2019-06,7
2019-07,6
2019-08,8
2019-09,6
2019-10,5
2019-11,8
2019-12,12
2020-01,7
2020-02,6
2020-03,6
2020-04,7
2020-05,9
2020-06,4
2020-07,5
2020-08,4
2020-09,5
2020-10,6
2020-11,5
2020-12,6
2021-01,5
2021-02,5
2021-03,6
2021-04,6
2021-05,5
2021-06,4
2021-07,5
2021-08,5
2021-09,5
2021-10,4
2021-11,5
2021-12,5
2022-01,13
2022-02,7
2022-03,6
2022-04,4
2022-05,19
2022-06,6
2022-07,5
2022-08,5
2022-09,5
2022-10,4
2022-11,9
2022-12,6
2023-01,7
2023-02,6
2023-03,6
2023-04,5
2023-05,4
2023-06,5
2023-07,6
2023-08,5
2023-09,6
2023-10,5
2023-11,5
2023-12,14
2024-01,6
2024-02,5
2024-03,5
2024-04,5
2024-05,6
2024-06,4
2024-07,4
2024-08,4
2024-09,3
2024-10,4
2024-11,4
2024-12,7
2025-01,11
2025-02,9
2025-03,5
2025-04,5
