movie_id,title,year,release_date,revenue,budget,runtime,genres,popularity,vote_average,vote_count,original_language,type,cast
35,The Simpsons Movie,2007,2007-07-25,527068851,75000000,87,"['Animation', 'Comedy', 'Family']",9.8916,7.009,8127,en,commercial,"['Dan Castellaneta', 'Julie Kavner', 'Nancy Cartwright', 'Yeardley Smith', 'Hank Azaria']"
38,Eternal Sunshine of the Spotless Mind,2004,2004-03-19,72258126,20000000,108,"['Science Fiction', 'Drama', 'Romance']",16.2437,8.1,15390,en,oscar,
58,Pirates of the Caribbean: Dead Man's Chest,2006,2006-07-06,1066179747,200000000,151,"['Adventure', 'Fantasy', 'Action']",22.8611,7.365,16296,en,commercial,"['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Stellan Skarsgård', 'Bill Nighy']"
59,A History of Violence,2005,2005-09-23,61477797,32000000,96,"['Drama', 'Thriller', 'Crime']",9.706,7.2,3375,en,oscar,
69,Walk the Line,2005,2005-09-13,186800000,28000000,136,"['Drama', 'Music', 'Romance']",5.0845,7.503,2941,en,oscar,
70,Million Dollar Baby,2004,2004-12-05,216763646,30000000,132,['Drama'],12.3125,7.955,9800,en,oscar,
74,War of the Worlds,2005,2005-06-13,603873119,132000000,117,"['Adventure', 'Thriller', 'Science Fiction']",17.9977,6.513,8547,en,commercial,"['Tom Cruise', 'Dakota Fanning', 'Justin Chatwin', 'Miranda Otto', 'Tim Robbins']"
118,Charlie and the Chocolate Factory,2005,2005-07-13,475000000,150000000,115,"['Adventure', 'Comedy', 'Family', 'Fantasy']",19.9114,7.043,15428,en,commercial,"['Johnny Depp', 'Freddie Highmore', 'David Kelly', 'Helena Bonham Carter', 'Noah Taylor']"
142,Brokeback Mountain,2005,2005-10-22,178043761,14000000,134,"['Drama', 'Romance']",8.9881,7.784,7126,en,oscar,
155,The Dark Knight,2008,2008-07-16,1004558444,185000000,152,"['Drama', 'Action', 'Crime', 'Thriller']",38.1755,8.519,33743,en,both,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine', 'Maggie Gyllenhaal']"
163,Ocean's Twelve,2004,2004-12-09,362744280,110000000,125,"['Thriller', 'Crime']",7.8645,6.564,7399,en,commercial,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Catherine Zeta-Jones', 'Andy García']"
205,Hotel Rwanda,2004,2004-12-22,38000000,17500000,121,"['Drama', 'History', 'War']",6.0459,7.715,2921,en,oscar,
217,Indiana Jones and the Kingdom of the Crystal Skull,2008,2008-05-21,786636033,185000000,122,"['Adventure', 'Action']",9.6775,6.009,8491,en,commercial,"['Harrison Ford', 'Cate Blanchett', 'Karen Allen', 'Shia LaBeouf', 'Ray Winstone']"
219,Volver,2006,2006-03-17,85582407,12899867,121,"['Comedy', 'Drama', 'Romance']",2.175,7.476,1762,es,oscar,
231,Syriana,2005,2005-11-23,93974620,50000000,128,"['Drama', 'Thriller']",2.1269,6.418,1386,en,oscar,
254,King Kong,2005,2005-12-12,562363449,207000000,187,"['Adventure', 'Drama', 'Action']",11.1571,6.885,8018,en,commercial,"['Naomi Watts', 'Jack Black', 'Adrien Brody', 'Andy Serkis', 'Colin Hanks']"
272,Batman Begins,2005,2005-06-10,374218673,150000000,140,"['Action', 'Crime', 'Drama']",16.048,7.712,21389,en,commercial,"['Christian Bale', 'Michael Caine', 'Liam Neeson', 'Katie Holmes', 'Gary Oldman']"
285,Pirates of the Caribbean: At World's End,2007,2007-05-19,961691209,300000000,169,"['Adventure', 'Fantasy', 'Action']",17.6711,7.258,14655,en,commercial,"['Johnny Depp', 'Geoffrey Rush', 'Orlando Bloom', 'Keira Knightley', 'Jack Davenport']"
298,Ocean's Thirteen,2007,2007-06-05,311312624,85000000,122,"['Crime', 'Thriller']",7.2163,6.721,6461,en,commercial,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Don Cheadle']"
