Category: All categories

Month,Lee Pace: (United States)
2004-01,5
2004-02,0
2004-03,7
2004-04,0
2004-05,0
2004-06,5
2004-07,0
2004-08,0
2004-09,5
2004-10,0
2004-11,0
2004-12,3
2005-01,0
2005-02,3
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,4
2005-09,3
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,3
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,2
2006-11,0
2006-12,0
2007-01,0
2007-02,2
2007-03,2
2007-04,2
2007-05,3
2007-06,1
2007-07,2
2007-08,3
2007-09,4
2007-10,34
2007-11,19
2007-12,14
2008-01,8
2008-02,7
2008-03,16
2008-04,12
2008-05,14
2008-06,14
2008-07,10
2008-08,12
2008-09,26
2008-10,30
2008-11,20
2008-12,20
2009-01,16
2009-02,10
2009-03,7
2009-04,8
2009-05,8
2009-06,13
2009-07,11
2009-08,9
2009-09,7
2009-10,8
2009-11,6
2009-12,8
2010-01,8
2010-02,9
2010-03,6
2010-04,5
2010-05,7
2010-06,8
2010-07,12
2010-08,10
2010-09,10
2010-10,15
2010-11,8
2010-12,8
2011-01,9
2011-02,9
2011-03,10
2011-04,11
2011-05,17
2011-06,11
2011-07,8
2011-08,7
2011-09,6
2011-10,6
2011-11,8
2011-12,8
2012-01,7
2012-02,6
2012-03,5
2012-04,5
2012-05,5
2012-06,8
2012-07,10
2012-08,7
2012-09,9
2012-10,8
2012-11,32
2012-12,31
2013-01,19
2013-02,12
2013-03,25
2013-04,17
2013-05,12
2013-06,17
2013-07,17
2013-08,14
2013-09,10
2013-10,10
2013-11,12
2013-12,35
2014-01,48
2014-02,27
2014-03,20
2014-04,21
2014-05,26
2014-06,38
2014-07,39
2014-08,100
2014-09,28
2014-10,17
2014-11,32
2014-12,100
2015-01,92
2015-02,39
2015-03,38
2015-04,33
2015-05,36
2015-06,34
2015-07,30
2015-08,29
2015-09,22
2015-10,18
2015-11,17
2015-12,18
2016-01,15
2016-02,13
2016-03,15
2016-04,13
2016-05,13
2016-06,12
2016-07,12
2016-08,13
2016-09,12
2016-10,12
2016-11,14
2016-12,11
2017-01,12
2017-02,12
2017-03,12
2017-04,14
2017-05,18
2017-06,12
2017-07,13
2017-08,11
2017-09,10
2017-10,12
2017-11,8
2017-12,11
2018-01,12
2018-02,11
2018-03,39
2018-04,18
2018-05,14
2018-06,19
2018-07,13
2018-08,12
2018-09,14
2018-10,10
2018-11,10
2018-12,11
2019-01,11
2019-02,9
2019-03,23
2019-04,13
2019-05,10
2019-06,13
2019-07,12
2019-08,17
2019-09,7
2019-10,8
2019-11,8
2019-12,8
2020-01,10
2020-02,12
2020-03,9
2020-04,10
2020-05,9
2020-06,10
2020-07,10
2020-08,11
2020-09,10
2020-10,10
2020-11,8
2020-12,11
2021-01,10
2021-02,13
2021-03,13
2021-04,11
2021-05,19
2021-06,10
2021-07,12
2021-08,14
2021-09,27
2021-10,22
2021-11,27
2021-12,14
2022-01,13
2022-02,17
2022-03,14
2022-04,12
2022-05,9
2022-06,9
2022-07,12
2022-08,63
2022-09,19
2022-10,12
2022-11,11
2022-12,12
2023-01,18
2023-02,19
2023-03,11
2023-04,10
2023-05,12
2023-06,14
2023-07,30
2023-08,22
2023-09,18
2023-10,13
2023-11,14
2023-12,17
2024-01,13
2024-02,15
2024-03,15
2024-04,12
2024-05,11
2024-06,13
2024-07,12
2024-08,10
2024-09,12
2024-10,15
2024-11,12
2024-12,11
2025-01,11
2025-02,11
2025-03,8
2025-04,9
2025-05,17
