Category: All categories

Month,tina fey: (United States)
2004-01,2
2004-02,2
2004-03,2
2004-04,8
2004-05,9
2004-06,3
2004-07,3
2004-08,2
2004-09,2
2004-10,4
2004-11,3
2004-12,3
2005-01,3
2005-02,2
2005-03,2
2005-04,3
2005-05,3
2005-06,2
2005-07,2
2005-08,1
2005-09,3
2005-10,3
2005-11,2
2005-12,2
2006-01,2
2006-02,1
2006-03,1
2006-04,1
2006-05,2
2006-06,2
2006-07,3
2006-08,2
2006-09,3
2006-10,4
2006-11,5
2006-12,3
2007-01,3
2007-02,2
2007-03,2
2007-04,3
2007-05,2
2007-06,2
2007-07,2
2007-08,2
2007-09,4
2007-10,4
2007-11,4
2007-12,8
2008-01,3
2008-02,7
2008-03,6
2008-04,9
2008-05,6
2008-06,3
2008-07,2
2008-08,4
2008-09,100
2008-10,88
2008-11,17
2008-12,20
2009-01,11
2009-02,7
2009-03,5
2009-04,5
2009-05,4
2009-06,3
2009-07,4
2009-08,3
2009-09,5
2009-10,6
2009-11,5
2009-12,4
2010-01,5
2010-02,6
2010-03,8
2010-04,20
2010-05,8
2010-06,4
2010-07,4
2010-08,5
2010-09,6
2010-10,7
2010-11,10
2010-12,5
2011-01,6
2011-02,6
2011-03,6
2011-04,18
2011-05,13
2011-06,8
2011-07,6
2011-08,6
2011-09,6
2011-10,5
2011-11,5
2011-12,7
2012-01,12
2012-02,9
2012-03,8
2012-04,7
2012-05,7
2012-06,5
2012-07,7
2012-08,4
2012-09,6
2012-10,8
2012-11,5
2012-12,6
2013-01,14
2013-02,8
2013-03,15
2013-04,5
2013-05,5
2013-06,5
2013-07,5
2013-08,6
2013-09,27
2013-10,10
2013-11,5
2013-12,6
2014-01,16
2014-02,7
2014-03,8
2014-04,8
2014-05,8
2014-06,7
2014-07,6
2014-08,6
2014-09,8
2014-10,6
2014-11,6
2014-12,7
2015-01,13
2015-02,7
2015-03,8
2015-04,6
2015-05,14
2015-06,5
2015-07,7
2015-08,5
2015-09,4
2015-10,5
2015-11,5
2015-12,19
2016-01,18
2016-02,10
2016-03,14
2016-04,8
2016-05,7
2016-06,7
2016-07,7
2016-08,4
2016-09,6
2016-10,6
2016-11,4
2016-12,5
2017-01,6
2017-02,5
2017-03,4
2017-04,5
2017-05,5
2017-06,4
2017-07,3
2017-08,13
2017-09,3
2017-10,4
2017-11,2
2017-12,2
2018-01,3
2018-02,4
2018-03,2
2018-04,4
2018-05,10
2018-06,4
2018-07,3
2018-08,2
2018-09,2
2018-10,2
2018-11,3
2018-12,2
2019-01,2
2019-02,3
2019-03,2
2019-04,2
2019-05,3
2019-06,2
2019-07,2
2019-08,2
2019-09,2
2019-10,3
2019-11,4
2019-12,4
2020-01,5
2020-02,3
2020-03,4
2020-04,4
2020-05,4
2020-06,4
2020-07,2
2020-08,2
2020-09,2
2020-10,2
2020-11,2
2020-12,4
2021-01,3
2021-02,4
2021-03,3
2021-04,2
2021-05,2
2021-06,2
2021-07,2
2021-08,2
2021-09,2
2021-10,2
2021-11,2
2021-12,2
2022-01,2
2022-02,2
2022-03,2
2022-04,2
2022-05,2
2022-06,2
2022-07,2
2022-08,2
2022-09,2
2022-10,1
2022-11,1
2022-12,1
2023-01,2
2023-02,4
2023-03,2
2023-04,2
2023-05,2
2023-06,2
2023-07,2
2023-08,2
2023-09,2
2023-10,2
2023-11,3
2023-12,3
2024-01,6
2024-02,4
2024-03,3
2024-04,3
2024-05,2
2024-06,2
2024-07,2
2024-08,2
2024-09,2
2024-10,1
2024-11,1
2024-12,2
2025-01,2
2025-02,4
2025-03,3
2025-04,3
